title,company,location,url,keywords,search_location,description
"Electrical Engineer | Remote
Electrical Engineer | Remote",Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguGDibaruoqZ8cBjR3nNh3RGqYB1HaGDNA2LlyMdm_ZMYIIGgtwUYZ99oIIjTwJXgKXEEWWroerGxcHUHvSdFCahYVhCjPbyuu8OZMQswzREhDvyCTHRbtxIMnWvUxC1Lb8I_be7hnoyQdUMgeQRpW0y-jZeATQDCQO2fQHjJFAQ75s3w0CP_R10E66KV9Pwn0DBtyhPTweteYbjYbZkheB-mxlP6L12hujsjbRxd_bfR6cXPRBlbFquftYnmCCpahzYn1brZwkOxb_keElllQPEcIiRtdR-q09P63aiLej7sWpRH3Uj12sH5eguQSM7ZDr64J5qxOEAzPZmkowe5fnV8e0awOIbCW_1XaVD-5sjfUlWbcBDufdwbAFYUzRP7li1PekwEppjEf22T0S9ulW4SjYJyOdq7UWVhKvX1mem2wKz-l1mBl32ELNgpFx9v8gF2KQhihHHLZpKYgG42Se7cDfu4KBZEDwgMjCAFK8oL60hHK_C17ud9&refId=S2ZVIzL5pkAW02syZA0OzA%3D%3D&trackingId=j6ZFUrKyKQ2vlOikV9K9Qw%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,Position: Circuit Design Expert
"Electronic Engineer
Electronic Engineer",Royal Caribbean Group,EMEA,https://www.linkedin.com/jobs/view/4457602129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=S2ZVIzL5pkAW02syZA0OzA%3D%3D&trackingId=R1gXngYPKS9V1tQPsFaVJQ%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,
"Service Technician
Service Technician",DAL GROUP ENGINEERING DIVISION (DED),Sudan – Field Based,https://www.linkedin.com/jobs/view/4466289776/?eBP=BUDGET_EXHAUSTED_JOB&refId=S2ZVIzL5pkAW02syZA0OzA%3D%3D&trackingId=3Ku4eqvbmk02ottfR6QfmA%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,WE ARE HIRING | SERVICE TECHNICIANS
Electrical Engineer | Remote,Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?alternateChannel=search&eBP=CwEAAAGguGDibaruoqZ8cBjR3nNh3RGqYB1HaGDNA2LlyMdm_ZMYIIGgtwUYZ99oIIjTwJXgKXEEWWroerGxcHUHvSdFCahYVhCjPbyuu8OZMQswzREhDvyCTHRbtxIMnWvUxC1Lb8I_be7hnoyQdUMgeQRpW0y-jZeATQDCQO2fQHjJFAQ75s3w0CP_R10E66KV9Pwn0DBtyhPTweteYbjYbZkheB-mxlP6L12hujsjbRxd_bfR6cXPRBlbFquftYnmCCpahzYn1brZwkOxb_keElllQPEcIiRtdR-q09P63aiLej7sWpRH3Uj12sH5eguQSM7ZDr64J5qxOEAzPZmkowe5fnV8e0awOIbCW_1XaVD-5sjfUlWbcBDufdwbAFYUzRP7li1PekwEppjEf22T0S9ulW4SjYJyOdq7UWVhKvX1mem2wKz-l1mBl32ELNgpFx9v8gF2KQhihHHLZpKYgG42Se7cDfu4KBZEDwgMjCAFK8oL60hHK_C17ud9&refId=S2ZVIzL5pkAW02syZA0OzA%3D%3D&trackingId=j6ZFUrKyKQ2vlOikV9K9Qw%3D%3D&trk=d_flagship3_search_srp_jobs,PLC programming,Sudan,Position: Circuit Design Expert
"Electrical Engineer | Remote
Electrical Engineer | Remote",Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguGD8j5GS8ICac2fi1VZC6MkM0fvNXYvufFmuzRVguxpKEgDPL2isf1sI9Ivh1l6IdDIZfHb3-Zjq3x5Fa-PV0yU_g9kqovn12eKC2m-0r_qHe_cyvNCwmLnyJTu7kLBG_q96NsL-Wffr88Nen7FSUSmILxzfLx8W4WGnC2gG0rrt2HV0Y07kr3Ecl4hmssnE1_JK2giLyVJHHqWAPSAmYX7ARlBJSj1m0meBFP7VFmwcvt5ChIICuWfYRxPApAOv58YwqKqhCLWRFVFviZMln3FUHPUaKnwWEkSsnxtZclVh5quG9uvA3KSLKHtvBVHuBV4BGyyZ5TCQPEetN4rBugYZgMFsR3rEbKHkpevqJOz2NTdLR9Qa1zMhaor0s7Qo7mj-B_YXciGOUqt8Kn0x58bJE1rNjI-NNWJZPdjTAm4VqCeBza-8gfaHKcKTuIxRKP0EwIILghMIdBdK7Mvbm9anZkgKP42MHr0TyXehgpym3hz_H7wst8tRzIGHBg&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=SLv2L4qmWH6Zx4uaHAX%2BcQ%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,Position: Circuit Design Expert
"Linux Devices Software Engineer
Linux Devices Software Engineer with verification",Canonical,we have remote roles open in every time zone.,https://www.linkedin.com/jobs/view/4434713665/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=SoC5g%2FsiO2o2UKBiIciB1A%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,This role is one of our general tracks. Apply here for all engineering teams at Canonical who work on low-level system technology on autonomous devices across all seniority levels.
"Electronic Engineer
Electronic Engineer",Royal Caribbean Group,Shipboard (worldwide travel),https://www.linkedin.com/jobs/view/4457602129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=xViRTvM6BbwgpXXEBL7Uhg%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,We're Hiring: Electronic Engineers
"Service Technician
Service Technician",DAL GROUP ENGINEERING DIVISION (DED),Sudan – Field Based,https://www.linkedin.com/jobs/view/4466289776/?eBP=BUDGET_EXHAUSTED_JOB&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=XtHdAIG88Fgs%2FsUc44zNNQ%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,WE ARE HIRING | SERVICE TECHNICIANS
"Customer Solutions Engineer - EMEA
Customer Solutions Engineer - EMEA with verification",Telesat,EMEA,https://www.linkedin.com/jobs/view/4449661137/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=TL4WG%2BMxNBqOq1%2Bm5krmmw%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,"Telesat (Nasdaq and TSX: TSAT) is a leading global satellite operator, providing reliable and secure satellite-delivered communications solutions worldwide to broadcast, telecommunications, corporate and government customers for over 55 years. Backed by a legacy of engineering excellence, reliability and industry-leading customer service, Telesat has grown to be one of the largest and most successful global satellite operators."
Electrical Engineer | Remote,Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?alternateChannel=search&eBP=CwEAAAGguGD8j5GS8ICac2fi1VZC6MkM0fvNXYvufFmuzRVguxpKEgDPL2isf1sI9Ivh1l6IdDIZfHb3-Zjq3x5Fa-PV0yU_g9kqovn12eKC2m-0r_qHe_cyvNCwmLnyJTu7kLBG_q96NsL-Wffr88Nen7FSUSmILxzfLx8W4WGnC2gG0rrt2HV0Y07kr3Ecl4hmssnE1_JK2giLyVJHHqWAPSAmYX7ARlBJSj1m0meBFP7VFmwcvt5ChIICuWfYRxPApAOv58YwqKqhCLWRFVFviZMln3FUHPUaKnwWEkSsnxtZclVh5quG9uvA3KSLKHtvBVHuBV4BGyyZ5TCQPEetN4rBugYZgMFsR3rEbKHkpevqJOz2NTdLR9Qa1zMhaor0s7Qo7mj-B_YXciGOUqt8Kn0x58bJE1rNjI-NNWJZPdjTAm4VqCeBza-8gfaHKcKTuIxRKP0EwIILghMIdBdK7Mvbm9anZkgKP42MHr0TyXehgpym3hz_H7wst8tRzIGHBg&refId=UCO91rk%2FwWFfdwg%2FAmJMcg%3D%3D&trackingId=SLv2L4qmWH6Zx4uaHAX%2BcQ%3D%3D&trk=d_flagship3_search_srp_jobs,embedded systems,Sudan,Position: Circuit Design Expert
