title,company,location,url,keywords,search_location,description
Control and Automation Engineer,,,https://sa.linkedin.com/jobs/view/control-and-automation-engineer-at-tibah-airports-operation-%D8%B7%D9%8A%D8%A8%D8%A9-%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B1%D8%A7%D8%AA-4459690790?position=8&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=vLwnIYMaNFc%2FYExdgT1PTw%3D%3D,control systems,Middle East,
Control Systems Engineer,,,https://iq.linkedin.com/jobs/view/control-systems-engineer-at-wood-4436303476?position=9&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=HwqK1WFIUl2uqLX5dlAqiQ%3D%3D,control systems,Middle East,
Lead Instrumentation & Control Engineer,,,https://ae.linkedin.com/jobs/view/lead-instrumentation-control-engineer-at-kbr-inc-4466068618?position=10&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=lMmiakY3yWWowDL096px7A%3D%3D,control systems,Middle East,
Engineer - Automation,,,https://tr.linkedin.com/jobs/view/engineer-automation-at-beko-corporate-4468391348?position=11&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=K2uOUhNpCkLB63gS2Q4XFw%3D%3D,control systems,Middle East,
Control Engineer,,,https://il.linkedin.com/jobs/view/control-engineer-at-microcon-vision-ltd-4464008767?position=12&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=6dDNRMzngw8UUm6d8zzF%2FQ%3D%3D,control systems,Middle East,
"Senior Principal Engineer,Guidance & Control (On-site in Abu Dhabi)",,,https://ae.linkedin.com/jobs/view/senior-principal-engineer-guidance-control-on-site-in-abu-dhabi-at-levelup-hcs-4458880019?position=13&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=VcLUrZR7q%2FjpVsZv%2B1a9KQ%3D%3D,control systems,Middle East,
BMS Design Engineer,,,https://qa.linkedin.com/jobs/view/bms-design-engineer-at-abec-ltd-4458190570?position=14&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=K8j8tz2O8yA3c9MpDYJEOA%3D%3D,control systems,Middle East,
Control Systems Engineer,,,https://sa.linkedin.com/jobs/view/control-systems-engineer-at-andritz-4467262620?position=15&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=B4skEdvMlDiMDfDnOPBYNw%3D%3D,control systems,Middle East,
Senior Control Software Engineer,,,https://ae.linkedin.com/jobs/view/senior-control-software-engineer-at-edge-4468001173?position=16&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=J1OMPnESDyXct1oZZWI1Cw%3D%3D,control systems,Middle East,
Lead Instrumentation and Control Engineer - Greenfield,,,https://ae.linkedin.com/jobs/view/lead-instrumentation-and-control-engineer-greenfield-at-kbr-inc-4459356235?position=17&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=CSQCPHOSUS8lPm7Aphh24Q%3D%3D,control systems,Middle East,
Controls Engineer ||,,,https://eg.linkedin.com/jobs/view/controls-engineer-at-advansys-4460896072?position=18&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=jDOT6tQy7yZFPIdhOedFew%3D%3D,control systems,Middle East,
Controls Engineer,,,https://tr.linkedin.com/jobs/view/controls-engineer-at-tofas-4463047106?position=19&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=JsBX0YMrTyyOlb3aJm1pRw%3D%3D,control systems,Middle East,
Automation & PLC Engineer,,,https://sa.linkedin.com/jobs/view/automation-plc-engineer-at-everllence-4376801759?position=20&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=m1iOfWPYnok90J7hiCmDdw%3D%3D,control systems,Middle East,
Senior Operational Control System (OCS) / SCADA Engineer,,,https://ae.linkedin.com/jobs/view/senior-operational-control-system-ocs-scada-engineer-at-sener-4460981587?position=21&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=MFfq29j3plfW%2FNsGd43FXg%3D%3D,control systems,Middle East,
"Proje Mühendisi, SCADA & Otomasyon",,,https://tr.linkedin.com/jobs/view/proje-m%C3%BChendisi-scada-otomasyon-at-karadeniz-holding-4452248232?position=22&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=VeFunBz0mocv0N6BNDtxRg%3D%3D,control systems,Middle East,
Power & SCADA Design Expert (Rail),,,https://ae.linkedin.com/jobs/view/power-scada-design-expert-rail-at-sj-group-4448626293?position=23&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=LUrJwnjJ7KC6%2B8xLxkOx7g%3D%3D,control systems,Middle East,
Lead Engineer Industrial Automation & Robotics,,,https://tr.linkedin.com/jobs/view/lead-engineer-industrial-automation-robotics-at-iff-4457335811?position=24&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=z5POhk9XB9lfMhhpvv2wgw%3D%3D,control systems,Middle East,
Lead Engineer Industrial Automation & Robotics,,,https://eg.linkedin.com/jobs/view/lead-engineer-industrial-automation-robotics-at-iff-4457348774?position=25&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=uyF7PwltghUZ4UFDiKHBCQ%3D%3D,control systems,Middle East,
