title,company,location,url,keywords,search_location,description
"Electrical Engineer | Remote
Electrical Engineer | Remote",Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguGWDPc53wOSAP7gVrgrGhN_L58IxVYXPgpTOlagjf6jyV_y3WyK2sNGoNbvWb4mr4w5ODOHBKSLf4Y_caG6j9EbM6bzRAVau4uTndqm8YhC7Cbk5e35ed3FbqGhfIUoFD4J5VnlR2HAAaigY6wt24Fjv11mej-sjM5bOrgw9R1gHvEggMOUrZliZG9rYSPaOmad4il3fP30lvzulbs_-dZtUB4HhUOH03kSnSTjWXiAgb5UFv2akfZ4oAEYgaCRnslSmcnkOQW6VYzdqky0QxIPLnGOhhYxqnG8EeV8a4CbRoQlzDReSh0DMvXlFXqUa4GyX36YJpDa2pT7VtbKIpU_QEl28uQ4zj12hRq0BYHs7LU8vJRndpW7odHxOemCqfaI-kkVOWsw4alFKh3XrAq8auRSImNvDgFDkCswfChMghaLYlRlio123v5xp79JECe45f2lMsNBo39MOvlMGocxRduD7w8LRTsBfD0D1lL31eWqg19ApzUcW&refId=U7Wl6ILJli9kYuJiU8MCaQ%3D%3D&trackingId=p%2Fuu40hGcjZ0ol9ji1kxkg%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,Position: Circuit Design Expert
"Electronic Engineer
Electronic Engineer",Royal Caribbean Group,Shipboard (worldwide travel),https://www.linkedin.com/jobs/view/4457602129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=U7Wl6ILJli9kYuJiU8MCaQ%3D%3D&trackingId=xWXhbJ3o4PEjgEBZkBILHA%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,We're Hiring: Electronic Engineers
"Service Technician
Service Technician",DAL GROUP ENGINEERING DIVISION (DED),Sudan – Field Based,https://www.linkedin.com/jobs/view/4466289776/?eBP=BUDGET_EXHAUSTED_JOB&refId=U7Wl6ILJli9kYuJiU8MCaQ%3D%3D&trackingId=xIBuDxWS0LUgmJj16MghwQ%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,WE ARE HIRING | SERVICE TECHNICIANS
"Customer Solutions Engineer - EMEA
Customer Solutions Engineer - EMEA with verification",Telesat,EMEA,https://www.linkedin.com/jobs/view/4449661137/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=U7Wl6ILJli9kYuJiU8MCaQ%3D%3D&trackingId=IHgecvhpEIz1JV2ZFfncrQ%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,"Telesat (Nasdaq and TSX: TSAT) is a leading global satellite operator, providing reliable and secure satellite-delivered communications solutions worldwide to broadcast, telecommunications, corporate and government customers for over 55 years. Backed by a legacy of engineering excellence, reliability and industry-leading customer service, Telesat has grown to be one of the largest and most successful global satellite operators."
Electrical Engineer | Remote,Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?alternateChannel=search&eBP=CwEAAAGguGWDPc53wOSAP7gVrgrGhN_L58IxVYXPgpTOlagjf6jyV_y3WyK2sNGoNbvWb4mr4w5ODOHBKSLf4Y_caG6j9EbM6bzRAVau4uTndqm8YhC7Cbk5e35ed3FbqGhfIUoFD4J5VnlR2HAAaigY6wt24Fjv11mej-sjM5bOrgw9R1gHvEggMOUrZliZG9rYSPaOmad4il3fP30lvzulbs_-dZtUB4HhUOH03kSnSTjWXiAgb5UFv2akfZ4oAEYgaCRnslSmcnkOQW6VYzdqky0QxIPLnGOhhYxqnG8EeV8a4CbRoQlzDReSh0DMvXlFXqUa4GyX36YJpDa2pT7VtbKIpU_QEl28uQ4zj12hRq0BYHs7LU8vJRndpW7odHxOemCqfaI-kkVOWsw4alFKh3XrAq8auRSImNvDgFDkCswfChMghaLYlRlio123v5xp79JECe45f2lMsNBo39MOvlMGocxRduD7w8LRTsBfD0D1lL31eWqg19ApzUcW&refId=U7Wl6ILJli9kYuJiU8MCaQ%3D%3D&trackingId=p%2Fuu40hGcjZ0ol9ji1kxkg%3D%3D&trk=d_flagship3_search_srp_jobs,PLC programming,Sudan,
"Electrical Engineer | Remote
Electrical Engineer | Remote",Crossing Hurdles,Remote,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguGWu4sTuJj0-PowyrfCRzvMCI872uR8-d-bPTK5mXx4VYmG6SHrHR2fpYCcFVFgn-Mj4bWW3dAtTH5mrvssS-ItnYsEa2XEaUobFRG585YFEfd8F2sVYfsv8wDu9cMBac0_sTnT4sxemUhxaeKsRb0TtPSIkhQgskSilERrsOnFi1GH_g_GZ5SN-h0-SE39ortcwxBlolOZA6kMZzH9-G6mk_4oJloNfc4_6zH607U0cYkhUxKis8eq-a8XH_MfXxjrhqzEdw63vnWcdrUZ8i2XEQns4gZfXRuRreeNsa_0bZgHEafc5zyoqy1T8twlYrHPcq_z-v0vdvDRYLr7HbdrCs3_M7jbve4tvvwanpCacWgHdPvmgn1crcFMW6apfMoxSy6Gtbwg6mzsM3ir7J9ChCOyaQO7fRPch0VLsEKNvlEnz69kr5Mh51eIVQcZI7tvJXoXD0pWu0yEUQvTkW__U-wMk3VY7H2XX-aAoO_83TB5t-Jy8wtTh470&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=A%2Fnd9td4ZJaKR1kr0tTj6A%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,Position: Circuit Design Expert
"Linux Devices Software Engineer
Linux Devices Software Engineer with verification",Canonical,EMEA,https://www.linkedin.com/jobs/view/4434713665/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=CpRx2aRe3ljg67x9QJaOtg%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,
"Electronic Engineer
Electronic Engineer",Royal Caribbean Group,Shipboard (worldwide travel),https://www.linkedin.com/jobs/view/4457602129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=GlPrjX%2BFuzPI5M4jRSd%2Flg%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,We're Hiring: Electronic Engineers
"Service Technician
Service Technician",DAL GROUP ENGINEERING DIVISION (DED),Sudan – Field Based,https://www.linkedin.com/jobs/view/4466289776/?eBP=BUDGET_EXHAUSTED_JOB&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=IuA17BmH6uDr5jFQLFiiKw%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,WE ARE HIRING | SERVICE TECHNICIANS
"Customer Solutions Engineer - EMEA
Customer Solutions Engineer - EMEA with verification",Telesat,EMEA,https://www.linkedin.com/jobs/view/4449661137/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=FGZq0TRF%2BFGqed3p0qLMYw%3D%3D&trk=flagship3_search_srp_jobs,embedded systems,Sudan,"Telesat (Nasdaq and TSX: TSAT) is a leading global satellite operator, providing reliable and secure satellite-delivered communications solutions worldwide to broadcast, telecommunications, corporate and government customers for over 55 years. Backed by a legacy of engineering excellence, reliability and industry-leading customer service, Telesat has grown to be one of the largest and most successful global satellite operators."
Electrical Engineer | Remote,,,https://www.linkedin.com/jobs/view/4466385599/?alternateChannel=search&eBP=CwEAAAGguGWu4sTuJj0-PowyrfCRzvMCI872uR8-d-bPTK5mXx4VYmG6SHrHR2fpYCcFVFgn-Mj4bWW3dAtTH5mrvssS-ItnYsEa2XEaUobFRG585YFEfd8F2sVYfsv8wDu9cMBac0_sTnT4sxemUhxaeKsRb0TtPSIkhQgskSilERrsOnFi1GH_g_GZ5SN-h0-SE39ortcwxBlolOZA6kMZzH9-G6mk_4oJloNfc4_6zH607U0cYkhUxKis8eq-a8XH_MfXxjrhqzEdw63vnWcdrUZ8i2XEQns4gZfXRuRreeNsa_0bZgHEafc5zyoqy1T8twlYrHPcq_z-v0vdvDRYLr7HbdrCs3_M7jbve4tvvwanpCacWgHdPvmgn1crcFMW6apfMoxSy6Gtbwg6mzsM3ir7J9ChCOyaQO7fRPch0VLsEKNvlEnz69kr5Mh51eIVQcZI7tvJXoXD0pWu0yEUQvTkW__U-wMk3VY7H2XX-aAoO_83TB5t-Jy8wtTh470&refId=LkZfUSG6Eb%2FVm2kgTiZvdw%3D%3D&trackingId=A%2Fnd9td4ZJaKR1kr0tTj6A%3D%3D&trk=d_flagship3_search_srp_jobs,embedded systems,Sudan,
"Electrical Engineer | Remote
Electrical Engineer | Remote",,,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguGYAkx3a-L62mamIbVGNwekLQ9ZEabHXHRMF32oIBI5o0Z9tftQlDDCYD1OaF04CyCPOuCQt8z_kH4qgTCImPIlppTShj1KRxjhfI5tmZrDKWjbarfn9Kwb7fpsyRlUE4b9VIyZ1fZfLWbBt9x33FeX623sM8xrDLBtd5qGNidWz4wG3JVNvjH4P-GFwCPWAgJbGtxXEmAsuyOkEBBqxmMPYgMsMRoFZJIL62H1yuaENQUJpb2Z1sVtvAHd1xirdPhxwHjftO68HG222BCmMdz550y5xf64ZT9j5bwWLXCeydNgvoKq0j-sj9z_aRXfzWjWfiv8si4ZedmGCFtoL555w7O5RHQ1Yzzw8Otb1QxyUhq8CSI-NPt3LgtAhavs_QAf9OIpXYqfB-6RvwL5TZhs9QVYUbONmH_qMjGjC8v33hjjUbsWbPMVHNumi91VNG3nUUJYVpMzG4vjKXqtRHv-U-4ucuccnCdVXuyC7mIM4ftTJ3WUnmU7wor0&refId=ddzR9x9qB8w9nxK2%2F4sEDg%3D%3D&trackingId=iNWD6Mzo5oCmlkIG9GSiSw%3D%3D&trk=flagship3_search_srp_jobs,microcontrollers,Sudan,
