title,company,location,url,keywords,search_location,description
Jr Asset Management Engineer,,Middle East,https://eg.linkedin.com/jobs/view/jr-asset-management-engineer-at-ratp-dev-mobility-cairo-4432295428?position=5&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=0gYswpROtdtssJlU7MpCEA%3D%3D,TIA Portal,Middle East,
Control and Automation Engineer,,Saudi Arabia,https://sa.linkedin.com/jobs/view/control-and-automation-engineer-at-tibah-airports-operation-%D8%B7%D9%8A%D8%A8%D8%A9-%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B1%D8%A7%D8%AA-4459690790?position=8&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=PAietYutmWcRdwbbhFec7A%3D%3D,TIA Portal,Middle East,
Senior Instrumentation Designer,,UAE,https://ae.linkedin.com/jobs/view/senior-instrumentation-designer-at-technip-energies-4463276857?position=10&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=pjcWy5ZNdzHTQDMvWwWbFw%3D%3D,TIA Portal,Middle East,
L2 Middleware Engineer,,Saudi Arabia,https://sa.linkedin.com/jobs/view/l2-middleware-engineer-at-tangent-international-4464779542?position=17&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=gDsS0aQhm0%2FHrPjSsSRTPA%3D%3D,TIA Portal,Middle East,
Principal Engineer Software- Modern Auth (Idira),,,https://il.linkedin.com/jobs/view/principal-engineer-software-modern-auth-idira-at-palo-alto-networks-4445841238?position=20&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=8ejOZZuvq%2FitTFG4rF5S%2BA%3D%3D,TIA Portal,Middle East,
Data & AI Engineer,,,https://ae.linkedin.com/jobs/view/data-ai-engineer-at-atom-insurance-4467720226?position=22&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=%2FntfTq63yo1bVyM86npSEQ%3D%3D,TIA Portal,Middle East,
Rope Access Technician L1,,,https://qa.linkedin.com/jobs/view/rope-access-technician-l1-at-palfinger-4461707333?position=23&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=ddz%2FXI5oLzEbNxw6oESY2Q%3D%3D,TIA Portal,Middle East,
Staff Engineer Software- Authentication Team,,,https://il.linkedin.com/jobs/view/staff-engineer-software-authentication-team-at-palo-alto-networks-4455873868?position=25&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=ynMeDS8d8kebGiWgmpm%2Fyg%3D%3D,TIA Portal,Middle East,
"Deloitte Innovation Hub I Cyber Security I Identity and Access Management Engineer, Cairo, Egypt",,,https://eg.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-identity-and-access-management-engineer-cairo-egypt-at-deloitte-4448835794?position=26&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=ODb9fMZDFlvcLq%2FgR%2BbhHw%3D%3D,TIA Portal,Middle East,
Principal Software Engineer (Directory Services),,,https://il.linkedin.com/jobs/view/principal-software-engineer-directory-services-at-palo-alto-networks-4447375709?position=27&pageNum=0&refId=LR%2BfjeLmEZ3zxQg3WawXvg%3D%3D&trackingId=ijbXjaZF12gfQAyTvV9zhA%3D%3D,TIA Portal,Middle East,
