title,company,location,url,keywords,search_location,description
Service Technician,DAL GROUP ENGINEERING DIVISION (DED),"Khartoum State, Sudan",https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?position=1&pageNum=0&refId=y0D2ypOgfPDFfLr1OH65Lw%3D%3D&trackingId=ZNKPk6eavUvUh%2FtScCiJ3Q%3D%3D,electrical engineer,Sudan,
Service Technician,DAL GROUP ENGINEERING DIVISION (DED),"Khartoum State, Sudan",https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?trk=public_jobs_topcard-title,electrical engineer,Sudan,
Senior Instrumentation Engineer,Worley,"Sohar, Al Batinah North Governorate, Oman",https://om.linkedin.com/jobs/view/senior-instrumentation-engineer-at-worley-4464037851?position=1&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=F1TLCh4al215BCMYer%2FyNQ%3D%3D,instrumentation,Middle East,
Senior Instrumentation Engineer,Worley,"Doha, Doha, Qatar",https://qa.linkedin.com/jobs/view/senior-instrumentation-engineer-at-worley-4418968334?position=2&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=R7OGYICGN2e%2BW9SgLGkNiQ%3D%3D,instrumentation,Middle East,
E & I Engineer,Emerson,"Dubai, Dubai, United Arab Emirates",https://ae.linkedin.com/jobs/view/e-i-engineer-at-emerson-4465018769?position=3&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=xP6LHcWA51SnMYGHJpsceg%3D%3D,instrumentation,Middle East,
GEN. INSTRUMENT TECHNICIAN II,,,https://qa.linkedin.com/jobs/view/gen-instrument-technician-ii-at-qatarenergy-4270021682?position=4&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=rtrzNXFpjUZ%2F0B%2FXXfR8nA%3D%3D,instrumentation,Middle East,
PMC Lead Instrumentation and Control Engineer,,,https://ae.linkedin.com/jobs/view/pmc-lead-instrumentation-and-control-engineer-at-wood-4461765733?position=5&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=PJ54SZrXWHtsl4FuU0M3fg%3D%3D,instrumentation,Middle East,
Senior Instrumentation Engineer (Offshore),,,https://ae.linkedin.com/jobs/view/senior-instrumentation-engineer-offshore-at-penspen-4438488872?position=6&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=dQjRDVx1LvKzf9x2gI6zQQ%3D%3D,instrumentation,Middle East,
Analyzer Technician,,,https://sa.linkedin.com/jobs/view/analyzer-technician-at-kbr-inc-4467070922?position=7&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=O%2FokXtxc6OY1CA8ZHF3%2ByA%3D%3D,instrumentation,Middle East,
Instrument & Control Technician,,,https://il.linkedin.com/jobs/view/instrument-control-technician-at-chevron-4403822394?position=8&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=sdSn82GcE%2BGdJypH%2F2VG%2Bw%3D%3D,instrumentation,Middle East,
PMC Senior Instrumentation & Control Engineer,,,https://ae.linkedin.com/jobs/view/pmc-senior-instrumentation-control-engineer-at-wood-4462055801?position=9&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=XobPDqHw%2FWmZ4fy6zfDmcQ%3D%3D,instrumentation,Middle East,
Instrumentation Technician,,,https://sa.linkedin.com/jobs/view/instrumentation-technician-at-lamprell-4466680452?position=10&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=sFyGEZEvMVIPa7VCOTr2nA%3D%3D,instrumentation,Middle East,
Analyzer Engineer,,,https://kw.linkedin.com/jobs/view/analyzer-engineer-at-anton-4445846080?position=11&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=y1k3q6QEXUYPPTwdzucKsA%3D%3D,instrumentation,Middle East,
Instrumentation and Electrical Technician - Tamar,,,https://il.linkedin.com/jobs/view/instrumentation-and-electrical-technician-tamar-at-chevron-4385006518?position=12&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=nmND3OMPxqVdkQnTSTzafg%3D%3D,instrumentation,Middle East,
Senior Instrumentation Engineer,,,https://qa.linkedin.com/jobs/view/senior-instrumentation-engineer-at-parsons-corporation-4468616345?position=13&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=MEe07k15yy7YYNOem0xcMQ%3D%3D,instrumentation,Middle East,
Calibration Technician - Jeddah,,,https://sa.linkedin.com/jobs/view/calibration-technician-jeddah-at-mbrf-4456731935?position=14&pageNum=0&refId=yBqmrnzWhhLkSy09kEnfdg%3D%3D&trackingId=RVjdHVg3tlcWEo9900bqOQ%3D%3D,instrumentation,Middle East,
